species	1998	1978	2004	2013	2009	2016	2020	2019	2017	2000	2018	2003	2015	2014	2006	2011	2008	2010	2012	1997
Beaucarnea stricta							VU													
Dasylirion cedrosanum							LC													
Furcraea longaeva							LC													
Furcraea macdougallii							EW													
Furcraea martinezii							EN													
Furcraea parmentieri							LC													
Nolina beldingii							VU													
Nolina parviflora							VU													
Dracaena fontanesiana							LC													
Aloe uncinata								DD												
Aloe mangeaensis								CR												
Crinum biflorum							LC													
Crinum jagus							LC													
Crinum nubicum							LC													
Aloe argentifolia								VU												
Dracaena fragrans								LC												
Dracaena steudneri								LC												
Aloe mkushiana								LC												
Dracaena parviflora								DD												
Dracaena aletriformis							LC													
Dracaena elliptica							LC													
Dracaena arborea								LC												
Aeranthes africana							CR													
Moraea niassensis							VU													
Dracaena mannii								LC												
Dracaena multiflora								LC												
Gladiolus flavoviridis							VU													
Bulbophyllum baladeanum							LC													
Bulbophyllum keekee							LC													
Bulbophyllum lingulatum							LC													
Bulbophyllum lophoglottis							NT													
Bulbophyllum ngoyense							LC													
Dendrobium kanakorum							DD													
Dendrobium ngoyense							LC													
Dendrobium oppositifolium							LC													
Dendrobium petrophilum							DD													
Dendrobium poissonianum							LC													
Dendrobium virotii							LC													
Goodyera scripta							LC													
Gunnarella aymardii							LC													
Gunnarella begaudii							LC													
Gunnarella florenciae							NT													
Gunnarella neocaledonica							LC													
Habenaria insularis							DD													
Liparis chalandei							LC													
Liparis disepala							LC													
Liparis laxa							LC													
Liparis leratii							VU													
Liparis phalacrocorax							LC													
Liparis sula							LC													
Liparis zosterops							NT													
Octarrhena saccolabioides							CR													
Taeniophyllum graptolitum							NT													
Taeniophyllum oreophilum							LC													
Dendrobium minutiflorum							DD													
Dendrobium crassicaule							LC													
Dendrobium crassifolium							LC													
Dendrobium steatoglossum							LC													
Dendrobium vandifolium							VU													
Dendrobium verruciferum							LC													
Megastylis montana							VU													
Sarcochilus gildasii							LC													
Sarcochilus koghiensis							LC													
Achlydosa glandulosa							LC													
Calanthe balansae							LC													
Calanthe oreadum							LC													
Clematepistephium smilacifolium							LC													
Coilochilus neocaledonicum							LC													
Corybas echinulus							EN													
Corybas pignalii							EN													
Drymoanthus minimus							LC													
Earina deplanchei							LC													
Earina floripecten							NT													
Eriaxis rigida							LC													
Genoplesium calopterum							LC													
Gonatostylis bougainvillei							VU													
Pachyplectron neocaledonicum							LC													
Phreatia sublata							LC													
Encyclia plicata							EN													
Tolumnia lucayana							EN													
Bulbophyllum erinaceum								LC												
Nolina excelsa							VU													
Nolina orbicularis							VU													
Nolina robusta							VU													
Beaucarnea purpusii							EN													
Beaucarnea goldmanii							VU													
Beaucarnea pliabilis							VU													
Furcraea niquivilensis							VU													
Beaucarnea olsonii							EN													
Yucca jaegeriana							LC													
Hesperoyucca whipplei							LC													
Hesperoyucca peninsularis							LC													
Nolina rodriguezii							VU													
Nolina brandegeei							VU													
Yucca toftiae							VU													
Aloe trinervis							EN													
Xanthorrhoea drummondii							LC													
Xanthorrhoea gracilis							LC													
Xanthorrhoea preissii							LC													
Xanthorrhoea semiplana							LC													
Xanthorrhoea acanthostachya							LC													
Xanthorrhoea brunonis							LC													
Xanthorrhoea nana							LC													
Xanthorrhoea platyphylla							LC													
Xanthorrhoea malacophylla							LC													
